freq,Vdiv mv,Tdiv ms,amplitude in,amplitude out,phase
16,260,20,1.998,1.975,-2.1
26,260,10,1.997,1.972,-3.4
42,260,6.4,1.997,1.968,-5.2
69,260,4.8,1.998,1.956,-8.4
113,250,2.7,1.998,1.927,-13
183,240,2,1.998,1.853,-20.6
303,220,1.04,1.997,1.687,-32.4
503,180,0.64,1.995,1.37,-46
813,132,0.38,1.994,1.0086,-59.1
1343,88,0.22,1.993,0.6711,-69.7
2143,58,0.14,1.993,0.4363,-76.9
3543,35,0.088,1.994,0.268,-81.7
5843,21,0.045,1.996,0.1641,-84.8
9643,13,0.031,1.997,0.1013,-86.7
15843,9,0.0192,1.998,0.0628,-87.2
