'freq [Hz]','Vdiv mv','Tdiv ms','Vpp in','Vpp out','Phase'
20,1,15.6,3.967,0.00234,14.8
47,1,5.8,3.968,0.00224,31.3
113,1,2.4,3.969,0.00401,56.1
273,2,1.12,3.978,0.00862,74.6
643,3,0.44,3.988,0.0165,82.2
1543,6,0.184,3.989,0.0456,85.5
3643,19,0.074,3.989,0.1422,86.5
8743,148,0.036,3.989,1.148,-67.9
20943,14,0.0148,3.984,0.109,-86.1
50000,5,0.0056,3.979,0.039,-87
20000,15,0.0132,3.985,0.115,-86.1
17000,19,0.0164,3.985,0.1463,-86
15000,23,0.0184,3.985,0.1795,-85.5
13000,31,0.02,3.985,0.2371,-84.5
11000,47,0.025,3.985,0.3669,-82.4
10000,68,0.029,3.986,0.5136,-79.9
8800,144,0.035,3.989,1.087,-69
8200,290,0.035,3.995,2.255,-42.2
8100,340,0.035,3.997,2.618,-31.5
8000,370,0.035,3.999,2.909,-18.1
7900,390,0.035,4.002,3.046,-1.3
7890,390,0.035,4.001,3.047,0.3
7800,380,0.035,4.001,2.933,16.3
7700,340,0.035,3.998,2.622,32.2
7600,290,0.035,3.994,2.209,44.3
6700,94,0.038,3.988,0.7134,77.1
5900,52,0.041,3.988,0.407,82.4
5100,35,0.056,3.988,0.2665,85.0
4500,27,0.064,3.988,0.2056,85.8
3900,21,0.072,3.988,0.1579,86.2
3400,17,0.076,3.989,0.1277,86.6
3000,14,0.088,3.989,0.1079,86.9
7893.9,400,0.034,4.003,3.034,0
