3000,220,0.088,1.667,-31.3
3608,210,0.078,1.567,-36.7
4338,196,0.064,1.428,-41
5218,180,0.056,1.3,-46.3
6278,160,0.047,1.165,-51.2
7548,140,0.039,1.0197,-55.3
9078,124,0.033,0.8914,-60
10968,104,0.027,0.757,-63.6
13168,90,0.023,0.6492,-66.3
15768,78,0.0196,0.5555,-68.7
18968,66,0.016,0.4645,-70.4
22868,56,0.0132,0.3905,-70.6
27468,47,0.0112,0.3302,-71.1
33068,39,0.0094,0.2756,-71.1
39768,31,0.0076,0.2313,-70.6
47768,28,0.0064,0.1963,-69.1
57468,23,0.0052,0.1655,-67.7
69168,20,0.0043,0.1415,-65.5
83168,17,0.0036,0.1206,-62.5
100000,14,0.0029,0.1052,-59.3
