'freq [Hz]','Vdiv mv','Tdiv ms','Vpp in','Vpp out','Phase'
20,3,13.2,3.597,0.01896,28.8
47,5,5.8,3.598,0.03942,39.0
113,10,2.5,3.598,0.0747,62.4
273,23,0.96,3.601,0.167,75.7
643,54,0.47,3.606,0.3883,78.9
1543,124,0.176,3.632,0.9375,72.8
3643,300,0.078,3.745,2.264,51.1
8743,490,0.033,3.975,3.867,-8.8
20943,240,0.0148,3.696,1.840,-58.7
50000,104,0.0062,3.622,0.7539,-76.1
2500,200,0.104,3.671,1.526,64.0
3300,270,0.084,3.717,2.043,55.2
4300,360,0.068,3.792,2.699,43.3
5700,450,0.052,3.905,3.443,26.0
7500,500,0.037,3.984,3.921,4.2
7900,500,0.037,3.987,3.933,-0.5
9900,470,0.028,3.941,3.662,-19.0
13100,380,0.023,3.829,2.949,-38.1
17100,300,0.018,3.744,2.264,-51.2
22100,230,0.0132,3.686,1.744,-60.4
30000,172,0.0104,3.647,1.271,-68.3
